name,money,addr
北京伊士通新材料发展有限公司,6888万元人民币,北京市房山区良乡经济开发区百花路6号
无锡招商城倍盛管业商行,2万元人民币,无锡塘南路112-5-429#
内蒙古电达经济技术开发公司,100万元人民币,内蒙古自治区内蒙电大新宿舍院内(东门外干休所东侧)
惠民县李庄镇恒丰化纤绳网厂,-,山东省滨州市惠民县李庄镇政府驻地
随州恒聚包装材料有限公司,1000万元人民币,湖北省随州市曾都区东岗工业园
深圳市宝安区福永镇怀德中成印刷器材制品厂,3万美元,深圳市宝安区福永镇怀德工业区第25栋
安达市佳鑫塑业有限公司,200万元人民币,黑龙江省绥化市安达市高新化工新材料产业园温州塑业园
平阳县华星圆筒编织厂,50万元人民币,水头镇江屿公路边
武义县壶山包装用品厂,-,壶山镇三角巷29号
海城市瑞丰橡塑制品有限公司,50万元人民币,海城市牌楼镇海镁矿区
漳州市芗城正浩塑料制品厂,12万元人民币,待御新村29号
湘乡市塑料一厂,54万元人民币,湘乡市虞塘镇苏坡村
广西贵港市大圩塑料制品厂,35万元人民币,大圩镇旧糖厂
廊坊恒通伟业防腐制品有限公司,1100万元人民币,永清县台湾工业新城恒山路西侧、宜兰道北侧
深圳市东城绿色投资有限公司,1000万元人民币,深圳市龙岗区坪地富坪中路7号
任丘市家齐塑业有限公司,100万元人民币,任丘市梁召镇梁各庄村
滨州市语健商贸有限公司,1000万元人民币,滨州市黄河二路以北通利房产5号楼
高港泰利聚丙烯复丝厂,139.2万美元,广东省肇庆市鼎湖区广利镇
莘县腾佳化工有限公司,1500万元人民币,山东省聊城市莘县古云镇盛云路北首100米路东
大柴旦云天实业有限公司,7500万元人民币,青海省海西州大柴旦行委饮马峡经济开发区
泗洪县远德利化工有限公司,2000万元人民币,泗洪县青阳镇富园天郡便民服务中心
江苏开磷瑞阳化工股份有限公司,22593.9483万元人民币,溧阳市南渡镇强埠集镇
廊坊旺蕾保温材料有限公司,100万元人民币,河北省廊坊市大城县工业园区阜草村
湖北大众兴塑业股份有限公司武汉分公司,-,武汉市蔡甸区常福工业示范园必大工业园3-3
温州雁峰商贸有限公司,388万元人民币,平阳县鳌江镇务垟工业区
玉田县东港商贸有限公司,50万元人民币,玉田县郭家屯乡范家定府村
安徽金玉米农业科技开发有限公司,10000万元人民币,萧县圣泉乡薛庄村
东莞诺泰新材料有限公司,50万元人民币,东莞市南城街道鸿福西路国际商会大厦1601号(集群注册)
江苏奇一科技有限公司,9700万元人民币,丹阳市开发区长湾西路9号
太仓市华鼎塑料有限公司,300万元人民币,太仓市浏河镇东元路9号(闸南工业区)
长沙达联塑料有限公司,50万元人民币,长沙市雨花区高桥办事处五一村嘉银大厦(左岸右岸)2栋2408房
盘锦火龙鸟编织有限公司,50万元人民币,盘山县石新镇
荆门市磁化肥厂经营部,-,荆门市工商街5号
广德慧诚电气科技有限公司,500万元人民币,广德县经济开发区(安徽鑫阳塑料制品有限公司内)
青岛昭硕电子有限公司,50万元人民币,青岛平度市经济开发区邢家疃村50号
浙江大东南股份有限公司,187836.01万元人民币,浙江省诸暨市城西工业区
莘县诺普化工有限公司,3000万元人民币,山东省聊城市莘县古云镇崔庄东首100米路东
邢台市开发区大梁庄塑料厂,-,邢台市大梁庄村
尉犁美瑞尔工贸有限责任公司,50万元人民币,新疆巴州尉犁县西尼尔镇
山西贝瑞精密工业股份有限公司新郑包装分公司,-,新郑市薛店镇食品工业园区
泰州市鲍徐塑料厂,4.5万元人民币,泰州市海陵区鲍徐镇东徐村
辉县市北云门镇东丁庄村鑫源塑料制品厂,-,河南省新乡市辉县市北云门镇东丁庄村
湖北博兴复合材料股份有限公司,2000万元人民币,十堰经济开发区龙门工业园龙门一路
成都市茂光塑料有限公司,300万元人民币,成都市金堂县淮口镇小柏村5组
大城县帅航塑料制品有限公司,300万元人民币,河北省廊坊市大城县宫村
江苏磐宇科技有限公司上海分公司,-,上海市桂平路391号3号楼901、902室
温州倍旺贸易有限公司,50万元人民币,温州市洞头区北岙街道车站路90号鑫盛大厦1单元801室(仅限办公使用)
洛阳市吉利区胜强聚丙烯销售部,-,洛阳市吉利区小川村北
中山铁王流体控制设备有限公司,1000万美元,广东省中山市南头镇南和西路
平阳县发展塑料厂,100万元人民币,肖江镇夏宅路
赞皇县燕锐橡胶有限责任公司,550万元人民币,赞皇县延康村
青海西部石化有限责任公司,30000万元人民币,西宁经济技术开发区甘河工业园区
武进市礼河镇长汀塑胶制品厂,30万元人民币,礼河镇
张店有运石油化工经营部,-,张店区湖田镇北焦宋村
漳州市芗城区诗浦塑料厂,9.1万元人民币,漳州市芝山镇诗浦村委会对面
盱眙恒泰矿业科技有限公司,1100万元人民币,盱眙县观音寺镇工业集中区
菏泽君康塑料制品有限公司,100万元人民币,山东省菏泽市曹县邵庄镇鲁庄村
福建省长乐市文岭福利塑料厂,210万元人民币,长乐市文岭镇 当尾村
佛山顾地塑胶有限公司,7143万元人民币,佛山市高明区更合镇更合大道166-3号
安徽金田高新材料股份有限公司,54600万元人民币,安徽省桐城市经济开发区兴隆路
平阳县大正包装厂,91万元人民币,麻步镇新洋工业区
四川省金核辐照技术有限公司,5000万元人民币,成眉工业集中发展区
大庆海跃达科技有限公司,100万元人民币,黑龙江省大庆市让胡路区乘风庄南二路B21商服楼商业518
汝州市天振塑编有限公司,142万元人民币,汝州市西环路西侧
常州晨宇包装有限公司,150万元人民币,常州市武进区横山桥镇东洲村
