日期,省,城市,城市代码,口罩相关厂商,熔喷布相关厂商,纺织机械相关厂商,无纺布相关厂商,医疗器械相关厂商,聚丙烯相关厂商,卫生相关厂商,人口密度,人口数,确诊,疑似,治愈,死亡,百度指数全部,百度指数pc,百度指数移动
2020-01-21,广东省,珠海市,440400,433,20,5422,98,6769,35,8204,3469,11346,4,0,0,0,61585,12100,49485
2020-01-21,广东省,佛山市,440600,821,63,6532,715,11424,151,41437,3469,11346,1,0,0,0,61585,12100,49485
2020-01-21,广东省,湛江市,440800,180,8,1821,31,5425,23,4462,3469,11346,2,0,0,0,61585,12100,49485
2020-01-21,广东省,惠州市,441300,930,121,4646,439,9141,39,6237,3469,11346,1,0,0,0,61585,12100,49485
2020-01-21,重庆市,万州区,500101,60,0,289,2,2001,6,1317,2026,3102,2,0,0,0,61585,12100,49485
2020-01-21,重庆市,长寿区,500115,45,0,229,13,1051,12,5065,2026,3102,1,0,0,0,61585,12100,49485
2020-01-21,重庆市,巫山县,500237,6,0,21,0,246,0,192,2026,3102,2,0,0,0,61585,12100,49485
2020-01-21,四川省,成都市,510100,617,30,54853,0,97072,139,60263,3068,8341,1,3,0,0,61585,12100,49485
2020-01-21,四川省,绵阳市,510700,60,2,2103,0,7066,25,0,3068,8341,0,2,0,0,61585,12100,49485
2020-01-21,四川省,广安市,511600,18,5,603,17,2928,9,0,3068,8341,1,0,0,0,61585,12100,49485
2020-01-21,贵州省,贵阳市,520100,109,37,6634,117,15565,38,12324,2412,3600,0,1,0,0,61585,12100,49485
2020-01-22,北京市,西城区,110102,66,1,10342,6,10467,88,2837,1136,2154,2,0,0,0,119548,14552,104996
2020-01-22,北京市,朝阳区,110105,369,2,46724,40,48714,31,5304,1136,2154,1,0,0,0,119548,14552,104996
2020-01-22,北京市,丰台区,110106,83,0,26407,22,29557,31,4839,1136,2154,1,0,0,0,119548,14552,104996
2020-01-22,北京市,石景山区,110107,104,0,4273,7,6175,11,2259,1136,2154,1,0,0,0,119548,14552,104996
2020-01-22,北京市,海淀区,110108,268,8,32558,17,42923,72,7025,1136,2154,2,0,0,0,119548,14552,104996
2020-01-22,北京市,通州区,110112,753,2,19516,38,16488,10,4823,1136,2154,1,0,0,0,119548,14552,104996
2020-01-22,北京市,昌平区,110114,111,2,12500,13,16364,18,3981,1136,2154,2,0,0,0,119548,14552,104996
2020-01-22,北京市,大兴区,110115,145,0,10951,39,14428,16,4055,1136,2154,2,0,0,0,119548,14552,104996
2020-01-22,河北省,石家庄市,130100,928,49,17846,2485,35885,340,30944,3210,7556,1,0,0,0,119548,14552,104996
2020-01-22,山西省,太原市,140100,95,4,14433,77,17802,12,20862,3514,3718,1,0,0,0,119548,14552,104996
2020-01-22,辽宁省,沈阳市,210100,415,36,17658,390,35130,85,24802,1782,4359,1,0,0,0,119548,14552,104996
2020-01-22,辽宁省,大连市,210200,556,37,4126,286,16339,1300,11092,1782,4359,1,0,0,0,119548,14552,104996
2020-01-22,吉林省,长春市,220100,345,22,7443,280,27483,76,25469,1831,2704,1,0,0,0,119548,14552,104996
2020-01-22,黑龙江省,牡丹江市,231000,70,0,627,36,3523,18,5302,5476,3773,1,0,0,0,119548,14552,104996
2020-01-22,江苏省,苏州市,320500,7969,15,47886,3503,38858,351,33120,2176,8051,1,0,0,0,119548,14552,104996
2020-01-22,浙江省,杭州市,330100,5157,11,37697,1219,54578,297,71513,2137,5737,1,0,0,0,119548,14552,104996
2020-01-22,浙江省,宁波市,330200,4647,114,26881,790,26299,121,33922,2137,5737,3,0,0,0,119548,14552,104996
2020-01-22,浙江省,温州市,330300,3779,12,9990,21191,15190,427,0,2137,5737,4,0,0,0,119548,14552,104996
2020-01-22,浙江省,舟山市,330900,137,5,3113,0,2398,98,0,2137,5737,1,0,0,0,119548,14552,104996
2020-01-22,浙江省,台州市,331000,1606,10,5790,0,9543,175,0,2137,5737,1,0,0,0,119548,14552,104996
2020-01-22,安徽省,合肥市,340100,1110,176,12829,937,34093,147,32412,2599,6324,1,3,0,0,119548,14552,104996
2020-01-22,安徽省,六安市,341500,320,153,927,288,2530,32,4771,2599,6324,0,1,0,0,119548,14552,104996
2020-01-22,福建省,福州市,350100,332,5,22973,148,21296,97,48332,3238,3941,1,0,0,0,119548,14552,104996
2020-01-22,江西省,南昌市,360100,149,38,5258,158,23476,19,19420,4818,4648,1,0,0,0,119548,14552,104996
2020-01-22,江西省,萍乡市,360300,67,11,584,29,2256,42,2854,4818,4648,1,0,0,0,119548,14552,104996
2020-01-22,江西省,抚州市,361000,89,36,682,198,3952,15,3439,4818,4648,1,0,0,0,119548,14552,104996
